topo_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
55,0.9344065217107066,0.978701265909176,0.94945881029904,0.93678086876502,0.9083462857700624,0.8605908114123527,0.7533575393298966,0.5803103854866926,0.4468802666207038,0.6857350052346225
56,0.8572116597244799,0.976069578121009,0.8761800832709694,0.8330230041427962,0.8160690055662224,0.8083642806151637,0.8105389113059598,0.8406212876838821,0.8144302837632129,0.7070816190662476
57,0.3884690724779642,0.9484602584513284,0.3154484334365786,0.3969518017175901,0.3500434640807168,0.5298981120492582,0.5894509367794283,0.5700044995371853,0.5610358767438425,0.5548247654285087
58,0.7437781251328811,0.9725560719696352,0.806648915777697,0.7713270477580834,0.7174610042190559,0.6387640449745132,0.5807913527921484,0.5327843919138693,0.5120244655513173,0.0592086674655289
59,0.3389226182299473,0.972129310966414,0.3096447207187269,0.3399475030741191,0.3884558859379087,0.3132109213482622,0.292178728310749,0.2494623394909865,0.2068724443450055,0.1685613410714813
60,0.4040163447829121,2.0217681156676773e-15,2.0328827263170086e-16,5.615733210600083e-16,0.3821598687759099,0.2912562474536082,0.2493487086385473,0.1964997006803633,0.1571261239521397,0.0889371666085451
61,0.3817419651331283,0.9408001878364808,0.397239522423112,0.4371011015500981,0.3638113515221858,0.2393646668538094,0.1997671360887337,0.1536896125139313,0.1334134154055231,0.1249118965615703
62,0.4412571032312908,0.7948184010704188,0.7899034962815898,0.7942396424867252,0.7702359489778481,0.7349077611264924,0.113143337411098,0.0531935065923421,0.0947993355867461,0.1093034447433616
63,0.919180285853616,0.9932015102980808,0.9582837671115302,0.9129268042353498,0.8917295430001794,0.834267599324795,0.7928753478145923,0.7478176290705653,0.6961453623469976,0.7504431574677602
64,0.6735292080223001,0.9327725198202612,0.7472828653251878,0.7158216728290244,0.6224539989888321,0.5763422734367103,0.5312252601152547,0.4971150546631801,0.4766496139774011,0.4136146982296886
65,0.8669885020612076,0.9736480670741536,0.9123920260685908,0.8724089844171355,0.8191250654497211,0.6831055448929588,0.6384717317631375,0.4873568798867593,0.4128766528258608,0.2576039453848053
66,0.8855887776324368,0.9113633827189482,0.8547954372225813,0.8784275104498735,0.8913444471351094,0.9171612537169378,0.9177974498919628,0.8879224278338821,0.8261659658268808,0.7898890668055084
67,0.8123121231708942,0.9351999791265816,0.8630207576833999,0.7795694356535959,0.7800301462969842,0.6772403574029918,0.6255545323840784,0.6079541038513855,0.4249916577206691,0.2660039819662763
68,0.8037067505788895,0.9219074705762944,0.7964036970385273,0.75892029064092,0.7737536474172283,0.7617251953626512,0.7220270316321892,0.6482421212063229,0.527314678212339,0.397695259462639
69,0.8697533873987898,0.9851336733137618,0.9094372967818428,0.8905941735261212,0.825481860327968,0.6172506874130199,0.4312623662182414,0.244550000439439,0.1566948540252198,0.3482241882836187
70,0.7127368836127038,0.9308216646026654,0.8218675558062856,0.7604979475792315,0.5535911792203466,0.5005296591063355,0.3608124150172647,0.4244414851382179,0.3573819770661489,0.0781632311335345
71,0.9062538211252872,0.9878686531274334,0.8984536520554425,0.8910537064410775,0.8989528806541236,0.8733232103509646,0.836002028059173,0.7839179937263595,0.7247071644963049,0.6042321151497776
72,0.8531978646046222,0.9814120415867488,0.8725096896377533,0.8528360165421789,0.8197706526712575,0.758200307351976,0.6987568473680466,0.594255727950464,0.2196314793733511,0.2229058405257911
73,0.925717261265903,0.9280846569340794,0.9430565910167296,0.9330601338415496,0.882039191379314,0.8755986929953963,0.8616571785479811,0.8366756937435201,0.7654787617134727,0.664036088830087
74,0.9475469855280246,0.9819252856351064,0.9498605133241604,0.9450933625848216,0.939366005555512,0.9063529765648012,0.8691463327977185,0.836770036418598,0.7674000513402104,0.7250192015338749
75,0.5251177501676292,0.9834939741950486,0.8065620872618433,0.620503625599564,0.3652533745281078,0.1689433860382827,0.0851833316126031,0.0214889345525705,0.3629294684875158,0.3556087189161401
76,0.8601018633847863,0.9529180669161004,0.8264566007587727,0.7659894104830527,0.8470009067908681,0.7339847713050122,0.6914610200154514,0.4686309660527706,0.3107359804360936,0.1274076167956362
77,0.7010944724872188,0.9691993920259432,0.7768144198900486,0.7231355088957696,0.675540346512067,0.5409169504257143,0.3863553183428824,0.2225430234262355,0.0379645256862242,0.0585020226202794
80,0.8791613491659318,0.9923883801028244,0.9392848009802626,0.8908251730429596,0.8103317929382198,0.7422216222906528,0.6760347595554204,0.6149577651910743,0.5467052880751855,0.3833342951107195
81,0.2599902137707413,0.9051607512531864,0.3655011191307812,0.2039964298169203,0.1211496777107658,0.3885362783869155,0.3011639072809057,0.3737294017435093,0.4103844841492211,0.0122283442409127
82,0.9708649225299464,0.9820284070099254,0.9748095028006704,0.9651672195110498,0.9633290730460644,0.9067554932125668,0.8399756843841114,0.7487950820721011,0.6538082228182593,0.6774865411128523
83,0.9423413972977556,0.9855662056192024,0.9584549809476496,0.937909634914166,0.9326576006996328,0.904456479673269,0.8767347343181588,0.8481731186551996,0.8196898162093834,0.7606440264505161
84,0.9083830838262816,0.9481695193016731,0.9369087190926224,0.9125676766739488,0.8806754363399704,0.8056655522871354,0.7249365972773426,0.6153819472064007,0.4669078303266529,0.1236572816028697
85,0.9169135287806904,0.982212544520259,0.945913029660112,0.9120581738169368,0.8601216204746461,0.8641152258424549,0.8190096770719384,0.7582767979813942,0.7231648934160856,0.698166015569701
86,0.9015700513408926,0.9714367882530432,0.86891751475829,0.8261353871874715,0.8903131152461078,0.8747786527234067,0.7744319333532261,0.6548639124469333,0.4724241125247934,0.2675720169088928
87,0.9183339869383476,0.987490548157332,0.9553429369820364,0.9305305519254156,0.8564329088868897,0.6815225436948756,0.5619500338897211,0.435238118162505,0.3386799096636566,0.2570405615558194
88,0.7860958252499367,6.074612687922692e-17,1.0089840569019286e-15,0.7143436332674732,0.7398368201395029,0.7960832541059446,0.8210337324414543,0.8231026409284686,0.7697127760969003,0.6806348847901199
89,0.9037715244244592,0.8972092551272189,0.9328759131597868,0.9232152758334587,0.8518524464371553,0.4423373490487061,0.1558489754725817,0.0175599077668248,0.2285768206406243,0.4502892077956259
90,0.963213495636779,0.9852399750854904,0.9612166380809124,0.9612477072648006,0.9499239947679312,0.866375284788465,0.827326702326209,0.7844649770601834,0.7221394874672652,0.6238497341578992
91,0.4064346935930819,,,,,0.4150541697136466,0.3898945297647241,0.2568307115603765,0.3252769080079518,0.384426811581195
92,0.4309802924653179,0.983022435456431,0.4258552816178699,0.4371758499038738,0.4376118976415518,0.4234475513740644,0.4198766146538527,0.4262753601908809,0.4314677276559011,0.4385072773714185
93,0.4623538518468559,0.9393887886622608,0.5394327785312725,0.5125256579637674,0.3900942952369787,0.2658739940556516,0.1923024685772713,0.0995875829947939,0.1950633028974021,0.2146761241126444
94,0.9018993738133968,0.9732722481930144,0.917989929650886,0.9012363812113982,0.8734242551763572,0.8810278001480434,0.8712606629182591,0.8476188598844822,0.0471106402922985,0.0460880344569506
95,0.4365386794677852,0.5358385164867039,0.1303398352821104,0.3399201910642561,0.4445746973874017,0.4964718624949553,0.5092774248810911,0.1274222632311384,0.3086512841222015,0.7412522174810227
96,0.9476660766118418,0.9808328377193228,0.981541948736958,0.9692842467541988,0.9183396758123128,0.9245645949286462,0.9236923639638812,0.9191521207359954,0.9018610962348428,0.8084261189910783
97,0.9293434263158042,0.995600127089005,0.975793025383476,0.96279741219871,0.8903861825440641,0.7427698510921665,0.665377725269127,0.5725910434423357,0.4812763526463787,0.4627829255495829
98,0.7899544283075376,0.983792384623575,0.8111231235730627,0.7964389728826332,0.7759244718617354,0.7163950071064793,0.6611424401508854,0.5467639636097745,0.5418505298382941,0.4811069379077282
99,0.1867472348839444,0.9745330028921037,0.2674817774350634,0.2303158946306635,0.3230631939633754,0.2415209911466718,0.2095728058557866,0.2368880102577129,0.0246155098812062,0.0092487038922719
